,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
Country,China,India,Indonesia,United States,South Korea,Vietnam,Turkey,Germany,Malaysia,Japan,Philippines,Russia,Poland,Pakistan,South Africa,Taiwan,Chile,Netherlands,Morocco,Thailand,Brazil,Italy,Laos,Australia,Sri Lanka,Czech Republic,Bulgaria,North Korea,Guatemala,Kazakhstan,Mexico,Canada,Botswana,Slovenia,Colombia,Bangladesh,France,Cambodia,Panama,Tajikistan,Zambia,Bosnia & Herzegovina,Kyrgyzstan,Brunei,Mongolia,Uzbekistan,Madagascar,Mauritius,Honduras,Syria,Myanmar,Senegal,Zimbabwe,Jordan,Argentina,Reunion,Guadeloupe,Egypt,Malawi,Serbia,Mozambique,Nigeria,Tanzania,United Arab Emirates,Iran,Ukraine,Kenya,Venezuela,Jamaica,United Kingdom,Hungary,Kosovo,Greece,North Macedonia,Dominican Republic,Montenegro,Swaziland,Georgia,Ghana,Spain,Romania,Israel,Denmark,Finland,Portugal,Moldova,Slovakia,Ireland,Austria,New Zealand,Croatia,Sweden,Peru,Namibia,Albania,Belarus,Belgium,Democratic Republic of Congo,El Salvador,Guinea,Latvia,Oman,Sudan,Hong Kong,Ivory Coast,Niger,Papua New Guinea,Ethiopia,World Total,Outside India and China,India and China
2006.0,"77,769.0","2,357.0","1,980.0",574.0,500.0,116.0,"1,080.0",0.0,748.0,50.0,284.0,180.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,250.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"87,384.0","7,258.0","80,126.0"
2007.0,"80,616.0","5,330.0",180.0,"1,514.0","2,086.0",300.0,78.0,0.0,"1,496.0",650.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,88.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"94,048.0","8,102.0","85,946.0"
2008.0,"61,089.0","5,442.0",367.0,"1,584.0","1,500.0",0.0,0.0,0.0,0.0,512.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"71,104.0","4,573.0","66,531.0"
2009.0,"60,678.0","5,673.0",351.0,"1,935.0","2,359.0",520.0,405.0,0.0,"1,776.0",630.0,0.0,750.0,560.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,660.0,0.0,466.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"77,036.0","10,685.0","66,351.0"
2010.0,"63,879.0","12,197.0",646.0,"5,878.0",250.0,300.0,"1,390.0",85.0,0.0,"1,010.0",267.0,0.0,64.0,0.0,0.0,0.0,419.0,0.0,0.0,85.0,414.0,"1,320.0",0.0,0.0,0.0,0.0,0.0,600.0,0.0,63.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"89,605.0","13,529.0","76,076.0"
2011.0,"62,376.0","15,164.0","4,695.0","4,254.0",123.0,"1,280.0",600.0,0.0,0.0,0.0,349.0,100.0,858.0,0.0,0.0,50.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,670.0,0.0,172.0,150.0,0.0,495.0,0.0,0.0,0.0,0.0,38.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"92,643.0","15,103.0","77,540.0"
2012.0,"52,049.0","17,961.0","4,045.0","3,953.0",0.0,480.0,0.0,"2,875.0",0.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,905.0,0.0,0.0,660.0,360.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"84,281.0","14,271.0","70,010.0"
2013.0,"51,276.0","18,388.0","2,024.0","1,813.0",60.0,"1,040.0",230.0,"1,600.0",0.0,"1,850.0",600.0,633.0,50.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,"1,085.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,60.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"81,312.0","11,648.0","69,664.0"
2014.0,"38,697.0","20,643.0","1,080.0",106.0,"1,800.0","3,104.0","1,550.0","1,710.0",0.0,0.0,82.0,"1,126.0",0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,600.0,135.0,0.0,0.0,122.0,0.0,0.0,110.0,300.0,0.0,0.0,0.0,0.0,235.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"72,250.0","12,910.0","59,340.0"
2015.0,"65,397.0","21,130.0","2,421.0",50.0,0.0,"4,476.0","1,140.0","3,472.0","1,000.0",0.0,585.0,225.0,55.0,0.0,795.0,0.0,152.0,"2,400.0",0.0,0.0,0.0,0.0,"1,252.0",0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,600.0,164.0,0.0,0.0,135.0,0.0,0.0,30.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"105,847.0","19,320.0","86,527.0"
2016.0,"47,355.0","18,965.0","1,569.0",0.0,"5,486.0",300.0,"1,850.0",0.0,"1,000.0",112.0,"1,314.0","1,130.0",50.0,40.0,0.0,800.0,532.0,"1,100.0",0.0,0.0,0.0,0.0,626.0,0.0,0.0,750.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"84,551.0","18,231.0","66,320.0"
2017.0,"35,406.0","8,868.0","1,464.0",0.0,"5,262.0","2,296.0","1,320.0",0.0,"1,000.0",500.0,465.0,0.0,"1,075.0","2,260.0","1,590.0",800.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"63,384.0","19,110.0","44,274.0"
2018.0,"32,471.0","8,380.0",730.0,0.0,0.0,"2,225.0",330.0,0.0,0.0,545.0,720.0,0.0,220.0,660.0,795.0,"1,649.0",0.0,0.0,"1,386.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,275.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"50,996.0","10,145.0","40,851.0"
2019.0,"43,840.0","8,135.0","2,391.0",0.0,269.0,600.0,655.0,0.0,"2,600.0","1,255.0","1,215.0",920.0,"1,800.0","1,980.0","1,590.0",0.0,375.0,0.0,0.0,150.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"68,340.0","16,365.0","51,975.0"
Total 2006-2019,"772,898.0","168,633.0","23,943.0","21,661.0","19,695.0","17,037.0","10,628.0","9,742.0","9,620.0","7,114.0","5,881.0","5,613.0","5,239.0","4,940.0","4,770.0","3,849.0","3,516.0","3,500.0","2,436.0","2,365.0","2,292.0","1,980.0","1,878.0","1,330.0",900.0,885.0,844.0,800.0,749.0,686.0,678.0,605.0,600.0,600.0,574.0,525.0,517.0,505.0,408.0,400.0,330.0,300.0,300.0,220.0,175.0,150.0,120.0,90.0,70.0,60.0,40.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,122,781.0","181,250.0","941,531.0"